# control-sequence	role	source-binding
# Mined from LaTeXML 0.8.8 bindings (/usr/share/perl5/LaTeXML/Package)
# DefMath role=>/meaning=> declarations. Use: R14 lexeme classes +
# classification step 3 (standard math vocabulary with semantic roles).
lx@ApplyFunction	APPLYOP	TeX.pool
lx@Braket@	MEANING:expectation	braket.sty
lx@Braket@D	MEANING:inner-product	braket.sty
lx@Braket@DD	MEANING:quantum-operator-product	braket.sty
lx@Braket@DV	MEANING:quantum-operator-product	braket.sty
lx@Braket@V	MEANING:inner-product	braket.sty
lx@Braket@VD	MEANING:quantum-operator-product	braket.sty
lx@Braket@VV	MEANING:quantum-operator-product	braket.sty
lx@InvisibleComma	PUNCT	TeX.pool
lx@InvisiblePlus	ADDOP	TeX.pool
lx@InvisibleTimes	MULOP	TeX.pool
lx@Set@	MEANING:set	braket.sty
lx@ams@boldsymbol@cdot	MULOP	AmSTeX.pool
lx@ams@boldsymbol@lbrace	OPEN	AmSTeX.pool
lx@ams@boldsymbol@lbrack	OPEN	AmSTeX.pool
lx@ams@boldsymbol@prime	SUPOP	AmSTeX.pool
lx@ams@boldsymbol@rbrace	CLOSE	AmSTeX.pool
lx@ams@boldsymbol@rbrack	CLOSE	AmSTeX.pool
lx@ams@boldsymbol@surd	OPERATOR	AmSTeX.pool
lx@braket@	MEANING:expectation	braket.sty
lx@braket@D	MEANING:inner-product	braket.sty
lx@braket@DD	MEANING:quantum-operator-product	braket.sty
lx@braket@DV	MEANING:quantum-operator-product	braket.sty
lx@braket@V	MEANING:inner-product	braket.sty
lx@braket@VD	MEANING:quantum-operator-product	braket.sty
lx@braket@VV	MEANING:quantum-operator-product	braket.sty
lx@math@amp	ADDOP	TeX.pool
lx@math@dollar	OPERATOR	TeX.pool
lx@math@lbrace	OPEN	TeX.pool
lx@math@percent	POSTFIX	TeX.pool
lx@math@rbrace	CLOSE	TeX.pool
lx@mt@overbracket	OVERACCENT	mathtools.sty
lx@mt@underbracket	UNDERACCENT	mathtools.sty
lx@physics@iunit	MEANING:imaginary-unit	physics.sty
lx@proof@logical@and	ADDOP	proof.sty
lx@set@	MEANING:set	braket.sty
mappedfromchar	RELOP	txfonts.sty
mapsfrom	ARROW	stmaryrd.sty
mapsfromchar	RELOP	stmaryrd.sty
mapsto	ARROW	TeX.pool
mapstochar	ARROW	LaTeX.pool
math@overleftarrow	OVERACCENT	TeX.pool
math@overrightarrow	OVERACCENT	TeX.pool
math@underline	UNDERACCENT	TeX.pool
mathring	OVERACCENT	LaTeX.pool
max	OPFUNCTION	TeX.pool
merge	RELOP	stmaryrd.sty
mid	VERTBAR	TeX.pool
min	OPFUNCTION	TeX.pool
minuso	RELOP	stmaryrd.sty
mmapstochar	RELOP	txfonts.sty
mod	MODIFIEROP	amsmath.sty
models	RELOP	TeX.pool
mp	ADDOP	TeX.pool
multimap	ARROW	amssymb.sty
multimapboth	RELOP	txfonts.sty
multimapbothvert	RELOP	txfonts.sty
multimapdot	RELOP	txfonts.sty
multimapdotboth	RELOP	txfonts.sty
multimapdotbothA	RELOP	txfonts.sty
multimapdotbothAvert	RELOP	txfonts.sty
multimapdotbothB	RELOP	txfonts.sty
multimapdotbothBvert	RELOP	txfonts.sty
multimapdotinv	RELOP	txfonts.sty
multimapinv	RELOP	txfonts.sty
nBumpeq	RELOP	txfonts.sty
nDashV	RELOP	mathabx.sty
nDashv	RELOP	mathabx.sty
nLeftarrow	ARROW	amssymb.sty
nLeftrightarrow	ARROW	amssymb.sty
nRightarrow	ARROW	amssymb.sty
nSubset	RELOP	txfonts.sty
nSupset	RELOP	txfonts.sty
nVDash	RELOP	amssymb.sty
nVdash	RELOP	txfonts.sty
nVvash	RELOP	mathabx.sty
nabla	OPERATOR	TeX.pool
napprox	RELOP	txfonts.sty
napproxeq	RELOP	txfonts.sty
nasymp	RELOP	txfonts.sty
nbacksim	RELOP	txfonts.sty
nbacksimeq	RELOP	txfonts.sty
nbumpeq	RELOP	txfonts.sty
ncong	RELOP	amssymb.sty
ncurlyeqprec	RELOP	mathabx.sty
ncurlyeqsucc	RELOP	mathabx.sty
ndashV	RELOP	mathabx.sty
ndashv	RELOP	mathabx.sty
ndownarrow	ARROW	mathtools.sty
nearrow	ARROW	TeX.pool
neg	BIGOP	TeX.pool
neq	RELOP	TeX.pool
neqslantgtr	RELOP	mathabx.sty
neqslantless	RELOP	mathabx.sty
nequiv	RELOP	txfonts.sty
nexists	FUNCTION	amssymb.sty
ngeq	RELOP	amssymb.sty
ngeqq	RELOP	amssymb.sty
ngeqslant	RELOP	amssymb.sty
ngg	RELOP	txfonts.sty
